seq,coupon_spec_seq,user_seq,issued_at,used_at,expires_at
1169,1,73566531,2025-06-10 15:00:45.002000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1170,1,73566555,2025-06-10 15:01:30.910000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1171,1,73566573,2025-06-10 15:01:51.119000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1172,1,73566647,2025-06-10 15:03:11.773000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1173,1,73566689,2025-06-10 15:03:51.190000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1174,1,73566691,2025-06-10 15:03:52.521000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1175,1,73566719,2025-06-10 15:04:13.068000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1176,1,73566747,2025-06-10 15:04:38.584000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1177,1,73566775,2025-06-10 15:05:00.626000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1178,1,73566789,2025-06-10 15:05:18.677000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1179,1,73566919,2025-06-10 15:07:18.272000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1180,1,73566977,2025-06-10 15:08:04.186000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1181,1,73567015,2025-06-10 15:09:07.313000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1182,1,73567061,2025-06-10 15:10:16.763000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1183,1,73567103,2025-06-10 15:10:55.109000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1184,1,73567131,2025-06-10 15:11:51.640000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1185,1,73567149,2025-06-10 15:12:08.908000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1186,1,73567157,2025-06-10 15:12:22.654000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1187,1,73567193,2025-06-10 15:13:36.586000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1188,1,73567211,2025-06-10 15:13:52.298000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1189,1,73567231,2025-06-10 15:14:11.014000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1190,1,73567253,2025-06-10 15:14:48.650000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1191,1,73567311,2025-06-10 15:15:58.920000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1192,1,73567321,2025-06-10 15:16:09.978000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1193,1,73567357,2025-06-10 15:16:55.794000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1194,1,73567367,2025-06-10 15:17:10.331000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1195,1,73567375,2025-06-10 15:17:34.936000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1196,1,73567459,2025-06-10 15:20:03.368000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1197,1,73567461,2025-06-10 15:20:05.013000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1198,1,73567479,2025-06-10 15:20:27.759000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1199,1,73567481,2025-06-10 15:20:28.431000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1200,1,73567487,2025-06-10 15:20:41.772000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1201,1,73567501,2025-06-10 15:20:58.854000 +00:00,,2025-06-18 14:59:59.000000 +00:00
1202,1,73567529,2025-06-10 15:21:33.751000 +00:00,,2025-06-18 14:59:59.000000 +00:00
