menu_seq,menu_name,target_scope,target_tag
33556,2024년 신년운세 보고서,전체,"신년운세, 종합운"
2166,그 사람과 나의 사주 궁합,"연애상태_싱글, 연애상태_커플",연애_궁합관계
22723,2023년 신년운세 보고서,전체,"신년운세, 종합운"
21964,내 사주에 연애 상대 몇 명 있을까?,"연애상태_싱글, 연애상태_커플","연애_일반, 연애_새로운만남"
28894,재회 사주: 그 사람과 다시 만날 운명일까?,연애상태_싱글,연애_재회
43513,2025 을사년 운세: 사랑과 인연,"연애상태_싱글, 연애상태_커플","신년운세, 연애_일반"
22360,사주로 보는 내 결혼 상대는?,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_새로운만남"
36509,2024 갑진년 운세: 사랑과 인연,"연애상태_싱글, 연애상태_커플","신년운세, 연애_일반"
18570,내 인생 언제 필까?: 3번의 기회🔑,전체,종합운
19192,타고난 결혼운 + 내 운명의 상대,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_새로운만남"
47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,"연애상태_싱글, 연애상태_커플",연애_일반
23878,내 운명 지금 어디 있을까?,"연애상태_싱글, 연애상태_커플","연애_일반, 연애_새로운만남"
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_궁합관계"
43216,2025년 신년운세 보고서,전체,"신년운세, 종합운"
26805,그 사람과 나의 3가지 사주궁합,"연애상태_싱글, 연애상태_커플",연애_궁합관계
453,내 인생 황금기와 암흑기: 사주팔자 풀이,전체,종합운
50312,2025 을사년 하반기 애정운,"연애상태_싱글, 연애상태_커플","신년운세, 연애_일반"
16477,2022년 신년운세 보고서,전체,"신년운세, 종합운"
26502,사주로 보는 결혼수: 나는 언제 결혼할까?,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_새로운만남"
49255,내 팔자에 새겨진 천년배필,"연애상태_싱글, 연애상태_커플",연애_새로운만남
21040,타고난 부(富): 재물운과 평생 모을 재산은?,전체,재물금전운
25978,D-DAY 재회 타로: 다시 만날 수 있을까?,연애상태_싱글,연애_재회
30875,내 사주 배우자 궁(宮)에 있는 사람은?,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_새로운만남"
20974,타고난 부(富): 내 사주 재물운과 평생 모을 재산은?,전체,재물금전운
2328,내 운명의 상대,"연애상태_싱글, 연애상태_커플",연애_일반
42952,내 사주에 쓰인 운명의 배우자,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_새로운만남"
43117,내 사주의 사랑운: 연애만? 결혼까지!,"연애상태_싱글, 연애상태_커플","연애_결혼, 연애_새로운만남"
