스킬ID,스킬,Target Scope,Target Tags
33556,2024년 신년운세 보고서,ALL,"NEW_YEAR, OVERALL"
2166,그 사람과 나의 사주 궁합,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MATCH
22723,2023년 신년운세 보고서,ALL,"NEW_YEAR, OVERALL"
21964,내 사주에 연애 상대 몇 명 있을까?,"LOVE_SINGLE, LOVE_COUPLE",LOVE_GENERAL
28894,재회 사주: 그 사람과 다시 만날 운명일까?,LOVE_SINGLE,"LOVE_MATCH, LOVE_REUNION"
43513,2025 을사년 운세: 사랑과 인연,"LOVE_SINGLE, LOVE_COUPLE","LOVE_GENERAL, NEW_YEAR"
22360,사주로 보는 내 결혼 상대는?,"LOVE_SINGLE, LOVE_COUPLE","LOVE_MARRIAGE, LOVE_NEW"
36509,2024 갑진년 운세: 사랑과 인연,"LOVE_SINGLE, LOVE_COUPLE","LOVE_GENERAL, NEW_YEAR"
18570,내 인생 언제 필까?: 3번의 기회🔑,ALL,OVERALL
19192,타고난 결혼운 + 내 운명의 상대,"LOVE_SINGLE, LOVE_COUPLE","LOVE_MARRIAGE, LOVE_NEW"
23878,내 운명 지금 어디 있을까?,"LOVE_SINGLE, LOVE_COUPLE",LOVE_GENERAL
47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,"LOVE_SINGLE, LOVE_COUPLE",LOVE_GENERAL
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,"LOVE_SINGLE, LOVE_COUPLE","LOVE_MARRIAGE, LOVE_MATCH"
43216,2025년 신년운세 보고서,ALL,"NEW_YEAR, OVERALL"
26805,그 사람과 나의 3가지 사주궁합,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MATCH
453,내 인생 황금기와 암흑기: 사주팔자 풀이,"LOVE_SINGLE, LOVE_COUPLE",OVERALL
50312,2025 을사년 하반기 애정운,"LOVE_SINGLE, LOVE_COUPLE","LOVE_MATCH, NEW_YEAR"
16477,2022년 신년운세 보고서,ALL,"NEW_YEAR, OVERALL"
26502,사주로 보는 결혼수: 나는 언제 결혼할까?,"LOVE_SINGLE, LOVE_COUPLE","LOVE_MARRIAGE, LOVE_NEW"
49255,내 팔자에 새겨진 천년배필,"LOVE_SINGLE, LOVE_COUPLE",LOVE_NEW
21040,타고난 부(富): 재물운과 평생 모을 재산은?,ALL,WEALTH
25978,D-DAY 재회 타로: 다시 만날 수 있을까?,LOVE_SINGLE,LOVE_REUNION
30875,내 사주 배우자 궁(宮)에 있는 사람은?,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MARRIAGE
20974,타고난 부(富): 내 사주 재물운과 평생 모을 재산은?,ALL,WEALTH
2328,내 운명의 상대,"LOVE_SINGLE, LOVE_COUPLE",LOVE_GENERAL
42952,내 사주에 쓰인 운명의 배우자,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MARRIAGE
33646,2024년 솔로 탈출 시기,LOVE_SINGLE,"LOVE_NEW, NEW_YEAR"
43117,내 사주의 사랑운: 연애만? 결혼까지!,"LOVE_SINGLE, LOVE_COUPLE","LOVE_MARRIAGE, LOVE_NEW"
31435,지금 날 간절히 원하는 사람 누구일까?,"LOVE_SINGLE, LOVE_COUPLE",LOVE_NEW
41402,2024 갑진년 하반기 애정운,"LOVE_SINGLE, LOVE_COUPLE","LOVE_MATCH, NEW_YEAR"
2418,사주로 보는 내 타고난 결혼운,"LOVE_SINGLE, LOVE_COUPLE","LOVE_MARRIAGE, LOVE_NEW"
16483,사주 살풀이: 타고난 살과 2022년의 살,ALL,NEW_YEAR
23706,2023년 솔로 탈출 시기,LOVE_SINGLE,"LOVE_NEW, NEW_YEAR"
27178,내 사주의 배우자 궁에 있는 사람은?,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MARRIAGE
28729,내 운이 트이는 동네는?(서울편),ALL,
21799,월지로 보는 인연: 배우자가 될 3명의 후보,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MARRIAGE
